,epochs,k_max,k_min,nModels,seed,train,valid,valid_avg
300,62,4,2,8,9205,0.18480670259287754,0.4930275321320406,0.42778789605287926
301,64,4,2,8,9205,0.1801566593989892,0.4990913634937153,0.42852246456929555
302,66,4,2,8,9205,0.1804296692011866,0.5029318346366956,0.42850316946316946
303,68,4,2,8,9205,0.1778487563037625,0.5005743513374773,0.4289825844428268
304,70,4,2,8,9205,0.17282884242441526,0.5007182714382523,0.429869735231351
305,72,4,2,8,9205,0.1691889970788537,0.502029556916393,0.4293628744563127
306,74,4,2,8,9205,0.16747098740191588,0.5014864189113636,0.4287619667658845
307,76,4,2,8,9205,0.16220452533024013,0.5022732747308654,0.4279407969685954
308,78,4,2,8,9205,0.15979491271041354,0.5036223930224394,0.42820999352608513
309,80,4,2,8,9205,0.1589968855857893,0.5063857245443888,0.42840674620407765
310,82,4,2,8,9205,0.15507719623159183,0.510506848801849,0.4296329356882901
311,84,4,2,8,9205,0.1531085153421117,0.5089791363202499,0.42890909282095074
312,86,4,2,8,9205,0.14964892978897823,0.5070313838979166,0.42839307088364553
313,88,4,2,8,9205,0.15019208103515033,0.5049038290937876,0.42837488645849264
314,90,4,2,8,9205,0.14823539750210435,0.5151120751729618,0.42965111989396426
315,92,4,2,8,9205,0.142561663823672,0.5174775995751832,0.43025922787318194
316,94,4,2,8,9205,0.13920493993180327,0.5150822363137453,0.42999121505309423
317,96,4,2,8,9205,0.13969543703988843,0.5159781651109062,0.4284301630703819
318,98,4,2,8,9205,0.1364375346875838,0.5182356844242527,0.4300245926662641
319,100,4,2,8,9205,0.13361313214598122,0.5199822660906929,0.42975516482144166
320,22,4,2,9,9206,0.2801593379589512,0.4714759402957553,0.43364383991803207
321,24,4,2,9,9206,0.27309406687900933,0.4717376348194222,0.43233131335534203
322,26,4,2,9,9206,0.2669149327346078,0.4728022592923207,0.4318339907022992
323,28,4,2,9,9206,0.25967046469037824,0.4728782930752844,0.43077927602826893
324,30,4,2,9,9206,0.25398203485311915,0.4764357080120207,0.43018379568999854
